0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 
0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> 0: jdbc:hive2://h01hn02:10500/tpcds_bin_parti> y.item_sk,y.d_date,y.web_sales,y.store_sales,y.web_cumulative,y.store_cumulative
20,1999-06-01,1473.720019519329,1353.6600033044815,1473.720019519329,1353.6600033044815
74,1999-06-01,1011.4400005340576,917.7100059241056,1011.4400005340576,917.7100059241056
458,1999-06-01,1221.4599952697754,1033.220002770424,1221.4599952697754,1033.220002770424
490,1999-06-01,1092.0399894714355,997.9100072979927,1092.0399894714355,997.9100072979927
704,1999-06-01,970.1300010681152,884.74001519382,970.1300010681152,884.74001519382
811,1999-06-01,1031.6900033950806,1025.7599992156029,1031.6900033950806,1025.7599992156029
890,1999-06-01,1626.2300128936768,1569.9099853038788,1626.2300128936768,1569.9099853038788
937,1999-06-01,1509.0700018405914,1351.789996266365,1509.0700018405914,1351.789996266365
1226,1999-06-01,1291.1299901008606,1143.5099973082542,1291.1299901008606,1143.5099973082542
1231,1999-06-01,922.3799984455109,741.9699991941452,922.3799984455109,741.9699991941452
1231,1999-06-02,1750.4899988174438,1748.6000001728535,1750.4899988174438,1748.6000001728535
1297,1999-06-01,1365.1499991416931,1214.5300068557262,1365.1499991416931,1214.5300068557262
1444,1999-06-01,936.100001424551,785.6700069904327,936.100001424551,785.6700069904327
1576,1999-06-01,1130.660012602806,970.2099954485893,1130.660012602806,970.2099954485893
1981,1999-06-01,1334.4299966096878,1039.6100076436996,1334.4299966096878,1039.6100076436996
1990,1999-06-01,1157.2699971199036,873.2799917459488,1157.2699971199036,873.2799917459488
2030,1999-06-01,779.2900032997131,774.4000065326691,779.2900032997131,774.4000065326691
2215,1999-06-01,908.8400105834007,476.47000300884247,908.8400105834007,476.47000300884247
2330,1999-06-01,743.979987859726,602.9799985289574,743.979987859726,602.9799985289574
2386,1999-06-01,1367.9900064468384,1212.1799939647317,1367.9900064468384,1212.1799939647317
2629,1999-06-01,1108.8700084090233,1012.9499926567078,1108.8700084090233,1012.9499926567078
2647,1999-06-01,943.3299989700317,832.9399995207787,943.3299989700317,832.9399995207787
2834,1999-06-01,1074.2300071716309,850.2899920940399,1074.2300071716309,850.2899920940399
2848,1999-06-01,1082.9700117111206,857.2500046491623,1082.9700117111206,857.2500046491623
2941,1999-06-01,1378.4599982500076,590.390007853508,1378.4599982500076,590.390007853508
2941,1999-06-02,1958.4699965715408,1841.4800186157227,1958.4699965715408,1841.4800186157227
2948,1999-06-01,1104.4300060272217,1063.930004477501,1104.4300060272217,1063.930004477501
3146,1999-06-01,1350.649998664856,1227.9299957752228,1350.649998664856,1227.9299957752228
3166,1999-06-01,628.8599868416786,609.5099983215332,628.8599868416786,609.5099983215332
3758,1999-06-01,893.2499933838844,826.690001219511,893.2499933838844,826.690001219511
3763,1999-06-01,1070.2199984788895,1057.6799957938492,1070.2199984788895,1057.6799957938492
3799,1999-06-01,884.8299973011017,869.9600002169609,884.8299973011017,869.9600002169609
3913,1999-06-01,1575.30998980999,1424.1300006508827,1575.30998980999,1424.1300006508827
3940,1999-06-01,1181.200005531311,1122.2999990582466,1181.200005531311,1122.2999990582466
3944,1999-06-01,1493.1699966788292,1073.9099966287613,1493.1699966788292,1073.9099966287613
3964,1999-06-01,1174.3299913406372,826.7199850976467,1174.3299913406372,826.7199850976467
4045,1999-06-01,914.6299982257187,774.5800046920776,914.6299982257187,774.5800046920776
4090,1999-06-01,1107.1100053787231,1023.2300015687943,1107.1100053787231,1023.2300015687943
4124,1999-06-01,952.5800086855888,841.2000043690205,952.5800086855888,841.2000043690205
4156,1999-06-01,1121.2999918460846,1100.559995174408,1121.2999918460846,1100.559995174408
4186,1999-06-01,947.6199934482574,943.690004138276,947.6199934482574,943.690004138276
4207,1999-06-01,1586.4700050354004,1114.9099922180176,1586.4700050354004,1114.9099922180176
4232,1999-06-01,905.9499938488007,869.6100083589554,905.9499938488007,869.6100083589554
4450,1999-06-01,1384.2900032997131,1305.2899885475636,1384.2900032997131,1305.2899885475636
4654,1999-06-01,869.0299937725067,811.2099906876683,869.0299937725067,811.2099906876683
4822,1999-06-01,1211.5999975204468,1076.9700001478195,1211.5999975204468,1076.9700001478195
4882,1999-06-01,1136.0599924325943,1129.2600051760674,1136.0599924325943,1129.2600051760674
5191,1999-06-01,887.7599947452545,879.6799961924553,887.7599947452545,879.6799961924553
5318,1999-06-01,1047.7399888038635,1047.0699996948242,1047.7399888038635,1047.0699996948242
5449,1999-06-01,1176.499993801117,961.4300080537796,1176.499993801117,961.4300080537796
5635,1999-06-01,947.8599901199341,945.7100031971931,947.8599901199341,945.7100031971931
5684,1999-06-01,1474.7899990081787,1189.9899980425835,1474.7899990081787,1189.9899980425835
5767,1999-06-01,1261.8200023174286,1195.1800184249878,1261.8200023174286,1195.1800184249878
6148,1999-06-01,1522.9999845027924,1085.0999958515167,1522.9999845027924,1085.0999958515167
6628,1999-06-01,1061.0699954032898,980.3799904584885,1061.0699954032898,980.3799904584885
6794,1999-06-01,1274.669986486435,1253.6200041770935,1274.669986486435,1253.6200041770935
6865,1999-06-01,791.4400051236153,566.7300081253052,791.4400051236153,566.7300081253052
6922,1999-06-01,904.9999980926514,882.7399988770485,904.9999980926514,882.7399988770485
7147,1999-06-01,1398.1900081634521,1161.5400005578995,1398.1900081634521,1161.5400005578995
7246,1999-06-01,1220.5299987792969,876.630008675158,1220.5299987792969,876.630008675158
7336,1999-06-01,1146.8699784874916,961.520006775856,1146.8699784874916,961.520006775856
7423,1999-06-01,1534.819989681244,1010.5700060725212,1534.819989681244,1010.5700060725212
7435,1999-06-01,1133.720006942749,1070.3899953365326,1133.720006942749,1070.3899953365326
7444,1999-06-02,2237.330011367798,2228.880007326603,2237.330011367798,2228.880007326603
7618,1999-06-01,786.3100043535233,775.3499971032143,786.3100043535233,775.3499971032143
7682,1999-06-01,1115.2900015115738,988.6400022953749,1115.2900015115738,988.6400022953749
7772,1999-06-01,950.8399970531464,850.8999933600426,950.8399970531464,850.8999933600426
7840,1999-06-01,1078.46000790596,954.1400031447411,1078.46000790596,954.1400031447411
8005,1999-06-01,1356.9299993515015,1294.6400060653687,1356.9299993515015,1294.6400060653687
8083,1999-06-01,1358.9400047063828,1338.9699916243553,1358.9400047063828,1338.9699916243553
8216,1999-06-01,1016.829984664917,945.2900035083294,1016.829984664917,945.2900035083294
8251,1999-06-01,1146.1300033330917,893.1299936175346,1146.1300033330917,893.1299936175346
8434,1999-06-01,893.8000159263611,785.3399983048439,893.8000159263611,785.3399983048439
8713,1999-06-01,1141.0600031614304,983.4600062072277,1141.0600031614304,983.4600062072277
